artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid,cords,lat
Phish,Burlington,USA,http://phish.net/setlists/?d=1983-10-30,,"October 30, 1983",30 years ago,1983-10-30,1251168326,1983,VT,Harris-Millis Cafeteria - University of Vermont,7,"(u'University of Vermont, Burlington, VT 05401', (44.4778528, -73.1964637))",44.4798528
Phish,Burlington,USA,http://phish.net/setlists/?d=1983-12-02,,"December 02, 1983",30 years ago,1983-12-02,1251253100,1983,VT,Harris-Millis Cafeteria - University of Vermont,7,"(u'University of Vermont, Burlington, VT 05401', (44.4778528, -73.1964637))",44.481152800000004
Phish,Burlington,USA,http://phish.net/setlists/?d=1983-12-03,,"December 03, 1983",30 years ago,1983-12-03,1251253531,1983,VT,"Marsh / Austin / Tupper Dormitory, University of Vermont",272,"(u'University of Vermont, Burlington, VT 05401', (44.4778528, -73.1964637))",44.4799528
Phish,Burlington,USA,http://phish.net/setlists/?d=1984-10-23,,"October 23, 1984",29 years ago,1984-10-23,1250613219,1984,VT,69 Grant Street,46,"(u'69 Grant Street, Burlington, VT 05401, USA', (44.482133, -73.210757))",44.482333
Phish,Burlington,USA,http://phish.net/setlists/?d=1984-11-03,,"November 03, 1984",29 years ago,1984-11-03,1251262142,1984,VT,"Slade Hall, University of Vermont",246,"(u'Slade Hall, University of Vermont, Redstone Campus, Burlington, VT 05405, USA', (44.4687515, -73.1998716))",44.4706515
Phish,Burlington,USA,http://phish.net/setlists/?d=1984-12-01,,"December 01, 1984",29 years ago,1984-12-01,1251262498,1984,VT,Nectar's,2,"(u'Burlington, VT, USA', (44.4758825, -73.21207199999999))",44.476882499999995
Phish,Burlington,USA,http://phish.net/setlists/?d=1985-02-01,,"February 01, 1985",29 years ago,1985-02-01,1251587227,1985,VT,Doolin's,344,"(u'Burlington, VT, USA', (44.4758825, -73.21207199999999))",44.4790825
Phish,Burlington,USA,http://phish.net/setlists/?d=1985-02-15,,"February 15, 1985",29 years ago,1985-02-15,1251587189,1985,VT,Doolin's,344,"(u'Burlington, VT, USA', (44.4758825, -73.21207199999999))",44.477282499999994
Phish,Burlington,USA,http://phish.net/setlists/?d=1985-02-22,,"February 22, 1985",29 years ago,1985-02-22,1251587270,1985,VT,Doolin's,344,"(u'Burlington, VT, USA', (44.4758825, -73.21207199999999))",44.478382499999995
Phish,Burlington,USA,http://phish.net/setlists/?d=1985-02-25,,"February 25, 1985",29 years ago,1985-02-25,1251587381,1985,VT,Doolin's,344,"(u'Burlington, VT, USA', (44.4758825, -73.21207199999999))",44.4803825
