date,tour,shows,city,country,venue,created_at,updated_at,tour_id,longitude,latitude,the_geom,cartodb_id
2005-09-08,A Bigger Bang,1,Milwaukee,US,Bradley Center,2012-11-13 00:00:00,2012-11-26 00:00:00,21,-87.91609,43.04362,0101000020E6100000548CF337A1FA55C0CBB9145795854540,18
1966-06-25,The Rolling Stones American Tour 1966,1,Cleveland,US,Arena,2012-11-13 00:00:00,2012-11-27 00:00:00,13,-81.4693,41.50795,0101000020E6100000D200DE02095E54C069006F8104C14440,279
1995-07-03,Voodoo Lounge Tour,1,Paris,"	France",Olympia,2012-11-13 00:00:00,2012-11-26 00:00:00,30,2.32829,48.8700905,0101000020E6100000AAD4EC8156A00240CF49EF1B5F6F4840,857
2006-03-06,A Bigger Bang,1,Inglewood,US,The Forum,2012-11-13 00:00:00,2012-11-26 00:00:00,21,-118.34364,33.9599,0101000020E61000003C66A032FE955DC017B7D100DEFA4040,1212
1965-04-30,The Rolling Stones 1st American Tour 1965,1,Worcester,US,Memorial Auditorium,2012-11-13 00:00:00,2012-11-27 00:00:00,3,-71.62814,42.32713,0101000020E6100000CE531D7233E851C02EC55565DF294540,1
1965-04-29,The Rolling Stones 1st American Tour 1965,2,Albany,US,Palace Theatre,2012-11-13 00:00:00,2012-11-27 00:00:00,3,-73.75028,42.65442,0101000020E6100000F2B56796047052C096ECD808C4534540,2
1965-10-30,The Rolling Stones 2nd American Tour 1965,1,Ithaca,US,Cornell University,2012-11-13 00:00:00,2012-11-27 00:00:00,28,-76.47442,42.44854,0101000020E61000005F24B4E55C1E53C053793BC269394540,3
1965-11-15,The Rolling Stones 2nd American Tour 1965,1,Charlotte,US,Coliseum,2012-11-13 00:00:00,2012-11-27 00:00:00,28,-80.79723,35.20433,0101000020E6100000F758FAD0053354C0BCCB457C279A4140,4
1966-06-24,The Rolling Stones American Tour 1966,1,Lynn,US,Manning Bowl,2012-11-13 00:00:00,2012-11-27 00:00:00,13,-70.93575,42.48672,0101000020E6100000D9CEF753E3BB51C0912749D74C3E4540,5
1966-07-20,The Rolling Stones American Tour 1966,1,Seattle,US,Center Coliseum,2012-11-13 00:00:00,2012-11-27 00:00:00,13,-122.33161,47.45882,0101000020E6100000B341261939955EC018601F9DBABA4740,6
1969-11-07,The Rolling Stones American Tour 1969,1,Fort Collins,US,Moby Arena,2012-11-13 00:00:00,2012-11-27 00:00:00,18,-105.0959465,40.5764946,0101000020E61000004703780B24465AC04B3CA06CCA494440,7
1972-06-03,The Rolling Stones American Tour 1972,1,Vancouver,"	Canada",Pacific Coliseum,2012-11-13 00:00:00,2012-11-27 00:00:00,35,-122.7982,49.28521,0101000020E6100000B3EA73B515B35EC0FF3EE3C281A44840,8
1972-07-11,The Rolling Stones American Tour 1972,1,Akron,US,Rubber Bowl,2012-11-13 00:00:00,2012-11-27 00:00:00,35,-81.4545802,41.0403772,0101000020E61000009B5AB6D6175D54C0CCB4FD2B2B854440,9
1975-06-01,The Rolling Stones Tour of the Americas '75,2,Baton Rouge,"	United States",LSU Assembly Center,2012-11-13 00:00:00,2012-11-27 00:00:00,8,-91.09963,30.41301,0101000020E6100000D5EC815660C656C0C4EBFA05BB693E40,10
1975-07-15,The Rolling Stones Tour of the Americas '75,1,San Francisco,US,Cow Palace,2012-11-13 00:00:00,2012-11-27 00:00:00,8,-122.41964,37.77712,0101000020E6100000FB05BB61DB9A5EC0A4880CAB78E34240,11
1978-06-10,The Rolling Stones US Tour 1978,1,Lakeland,"	United States",Lakeland Civic Center,2012-11-13 00:00:00,2012-11-27 00:00:00,2,-81.86146,28.15737,0101000020E6100000FAB31F29227754C01C5F7B6649283C40,12
1978-07-16,The Rolling Stones US Tour 1978,1,Boulder,US,Folsom Field,2012-11-13 00:00:00,2012-11-27 00:00:00,2,-105.26512,40.00821,0101000020E6100000FE60E0B9F7505AC005C078060D014440,13
1981-11-16,The Rolling Stones American Tour 1981,1,Cleveland,US,Richfield Coliseum,2012-11-13 00:00:00,2012-11-27 00:00:00,32,-81.74912,41.40239,0101000020E6100000E4310395F16F54C0641EF98381B34440,14
1999-01-25,No Security Tour,1,Oakland,"	United States",Oakland Arena,2012-11-13 00:00:00,2012-11-27 00:00:00,26,-122.19675,37.79497,0101000020E61000003BDF4F8D978C5EC08BA6B393C1E54240,15
1999-02-19,No Security Tour,1,Milwaukee,US,Bradley Center,2012-11-13 00:00:00,2012-11-27 00:00:00,26,-87.99385,43.16188,0101000020E61000004BC8073D9BFF55C030F0DC7BB8944540,16
1995-03-14,Voodoo Lounge Tour,1,Tokyo,"	Japan",Tokyo Dome,2012-11-13 00:00:00,2012-11-26 00:00:00,30,139.658203125,35.4606699514953,0101000020E6100000454772F90F756140C91F0C3CF7BA4140,17
1963-09-29,The Rolling Stones British Tour 1963,2,London,England,New Victoria Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-0.145235,51.496235,0101000020E6100000D717096D3997C2BFA4A5F27684BF4940,19
1963-10-01,The Rolling Stones British Tour 1963,2,London,England,Odeon Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-0.173533,51.542094,0101000020E610000011FC6F253B36C6BF8CBE823463C54940,20
1963-10-02,The Rolling Stones British Tour 1963,2,London,England,Regal Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-0.05446,51.5561409,0101000020E6100000A75CE15D2EE2ABBFACFF73982FC74940,21
1963-10-03,The Rolling Stones British Tour 1963,2,Southend-on-Sea,England,Odeon Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,0.70514,51.5404,0101000020E6100000FF3EE3C28190E63F1361C3D32BC54940,22
1963-10-04,The Rolling Stones British Tour 1963,2,Guildford,England,Odeon Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-0.57836,51.23752,0101000020E6100000E010AAD4EC81E2BFAE122C0E679E4940,23
1963-10-05,The Rolling Stones British Tour 1963,2,Watford,England,Gaumont Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-0.3989,51.65797,0101000020E61000002BF697DD9387D9BFE3DF675C38D44940,24
1963-10-06,The Rolling Stones British Tour 1963,2,Cardiff,Wales,Capital Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-3.18072,51.48127,0101000020E61000006EDDCD531D7209C0E1455F419ABD4940,25
1963-10-08,The Rolling Stones British Tour 1963,2,Cheltenham,England,Odeon Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-2.07844,51.89804,0101000020E6100000FF959526A5A000C0FB3F87F9F2F24940,26
1963-10-09,The Rolling Stones British Tour 1963,2,Worcester,England,Gaumont Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-2.22158,52.19364,0101000020E6100000D9942BBCCBC501C046990D32C9184A40,27
1963-10-10,The Rolling Stones British Tour 1963,2,Wolverhampton,England,Gaumont Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-2.12168,52.58864,0101000020E6100000459E245D33F900C0088F368E584B4A40,28
1963-10-11,The Rolling Stones British Tour 1963,2,"Derby	Gaumont",England,Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-0.12714,51.50632,0101000020E610000067B8019F1F46C0BFC6A70018CFC04940,29
1963-10-12,The Rolling Stones British Tour 1963,2,Doncaster,England,Gaumont Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-1.06929,53.50291,0101000020E61000009609BFD4CF1BF1BF6A6AD95A5FC04A40,30
1963-10-13,The Rolling Stones British Tour 1963,2,Liverpool,England,Odeon Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-2.97867,53.40901,0101000020E61000004E9CDCEF50D407C055DE8E705AB44A40,31
1963-10-16,The Rolling Stones British Tour 1963,2,Manchester,England,Odeon Theatre,2012-11-13 00:00:00,2012-11-26 00:00:00,7,-2.241024,53.474956,0101000020E61000009274CDE49BED01C03F74417DCBBC4A40,32
