artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Burlington,USA,http://phish.net/setlists/?d=1995-05-14,,"May 14, 1995",19 years ago,1995-05-14,1252614602,1995,VT,Fishman's House,513
Phish,Lowell,USA,http://phish.net/setlists/?d=1995-05-16,,"May 16, 1995",19 years ago,1995-05-16,1252614957,1995,MA,Lowell Memorial Auditorium,514
Phish,Boise,USA,http://phish.net/setlists/?d=1995-06-07,,"June 07, 1995",19 years ago,1995-06-07,1252615233,1995,ID,Boise State University Pavilion,413
Phish,Salt Lake City,USA,http://phish.net/setlists/?d=1995-06-08,,"June 08, 1995",19 years ago,1995-06-08,1252615779,1995,UT,The Delta Center,515
Phish,Morrison,USA,http://phish.net/setlists/?d=1995-06-09,,"June 09, 1995",19 years ago,1995-06-09,1252701559,1995,CO,Red Rocks Amphitheatre,50
Phish,Morrison,USA,http://phish.net/setlists/?d=1995-06-10,,"June 10, 1995",19 years ago,1995-06-10,1252701921,1995,CO,Red Rocks Amphitheatre,50
Phish,Maryland Heights,USA,http://phish.net/setlists/?d=1995-06-13,,"June 13, 1995",19 years ago,1995-06-13,1252702279,1995,MO,Riverport Amphitheater,225
Phish,Memphis,USA,http://phish.net/setlists/?d=1995-06-14,,"June 14, 1995",19 years ago,1995-06-14,1252702709,1995,TN,Mud Island Amphitheater,533
Phish,Atlanta,USA,http://phish.net/setlists/?d=1995-06-15,,"June 15, 1995",19 years ago,1995-06-15,1252703074,1995,GA,Lakewood Amphitheatre,396
Phish,Raleigh,USA,http://phish.net/setlists/?d=1995-06-16,,"June 16, 1995",19 years ago,1995-06-16,1252704548,1995,NC,Walnut Creek Amphitheater,456
Phish,Bristow,USA,http://phish.net/setlists/?d=1995-06-17,,"June 17, 1995",19 years ago,1995-06-17,1252704917,1995,VA,Nissan Pavilion at Stone Ridge,534
Phish,Noblesville,USA,http://phish.net/setlists/?d=1995-06-19,,"June 19, 1995",19 years ago,1995-06-19,1252705088,1995,IN,Deer Creek Music Center,401
Phish,Cuyahoga Falls,USA,http://phish.net/setlists/?d=1995-06-20,,"June 20, 1995",19 years ago,1995-06-20,1252953568,1995,OH,Blossom Music Center,223
Phish,Canandaigua,USA,http://phish.net/setlists/?d=1995-06-22,,"June 22, 1995",19 years ago,1995-06-22,1252953850,1995,NY,Finger Lakes Performing Arts Center,221
Phish,Stanhope,USA,http://phish.net/setlists/?d=1995-06-23,,"June 23, 1995",19 years ago,1995-06-23,1252954514,1995,NJ,Waterloo Village,354
Phish,Philadelphia,USA,http://phish.net/setlists/?d=1995-06-24,,"June 24, 1995",19 years ago,1995-06-24,1252954984,1995,PA,The Mann Center for the Performing Arts,213
Phish,Philadelphia,USA,http://phish.net/setlists/?d=1995-06-25,,"June 25, 1995",19 years ago,1995-06-25,1252955261,1995,PA,The Mann Center for the Performing Arts,213
Phish,Saratoga Springs,USA,http://phish.net/setlists/?d=1995-06-26,,"June 26, 1995",19 years ago,1995-06-26,1252955457,1995,NY,Saratoga Performing Arts Center,220
Phish,Wantagh,USA,http://phish.net/setlists/?d=1995-06-28,,"June 28, 1995",19 years ago,1995-06-28,1252956341,1995,NY,Jones Beach Amphitheater,211
Phish,Wantagh,USA,http://phish.net/setlists/?d=1995-06-29,,"June 29, 1995",19 years ago,1995-06-29,1252956540,1995,NY,Jones Beach Amphitheater,211
Phish,Mansfield,USA,http://phish.net/setlists/?d=1995-06-30,,"June 30, 1995",19 years ago,1995-06-30,1252956796,1995,MA,Great Woods Center for the Performing Arts,214
Phish,Mansfield,USA,http://phish.net/setlists/?d=1995-07-01,,"July 01, 1995",19 years ago,1995-07-01,1252957234,1995,MA,Great Woods Center for the Performing Arts,214
Phish,North Fayston,USA,http://phish.net/setlists/?d=1995-07-02,,"July 02, 1995",19 years ago,1995-07-02,1252957654,1995,VT,Summer Stage at Sugarbush,460
Phish,North Fayston,USA,http://phish.net/setlists/?d=1995-07-03,,"July 03, 1995",19 years ago,1995-07-03,1252957959,1995,VT,Summer Stage at Sugarbush,460
Phish,New York,USA,http://phish.net/setlists/?d=1995-07-13,,"July 13, 1995",19 years ago,1995-07-13,1252962819,1995,NY,Ed Sullivan Theater,228
Phish,Sacramento,USA,http://phish.net/setlists/?d=1995-09-27,,"September 27, 1995",18 years ago,1995-09-27,1252963616,1995,CA,Cal Expo Amphitheater,298
Phish,San Diego,USA,http://phish.net/setlists/?d=1995-09-28,,"September 28, 1995",18 years ago,1995-09-28,1252964690,1995,CA,"Summer Pops, Embarcadero Center",654
Phish,Los Angeles,USA,http://phish.net/setlists/?d=1995-09-29,,"September 29, 1995",18 years ago,1995-09-29,1252965826,1995,CA,Greek Theatre,289
Phish,Mountain View,USA,http://phish.net/setlists/?d=1995-09-30,,"September 30, 1995",18 years ago,1995-09-30,1252965986,1995,CA,Shoreline Amphitheatre,247
Phish,Seattle,USA,http://phish.net/setlists/?d=1995-10-02,,"October 02, 1995",18 years ago,1995-10-02,1252967186,1995,WA,Seattle Center Arena,655
Phish,Seattle,USA,http://phish.net/setlists/?d=1995-10-03,,"October 03, 1995",18 years ago,1995-10-03,1252968308,1995,WA,Seattle Center Arena,655
Phish,Portland,USA,http://phish.net/setlists/?d=1995-10-05,,"October 05, 1995",18 years ago,1995-10-05,1252968571,1995,OR,Memorial Coliseum,657
Phish,"Vancouver, British Columbia",Canada,http://phish.net/setlists/?d=1995-10-06,,"October 06, 1995",18 years ago,1995-10-06,1252969370,1995,,The Orpheum Theatre,658
Phish,Spokane,USA,http://phish.net/setlists/?d=1995-10-07,,"October 07, 1995",18 years ago,1995-10-07,1252969555,1995,WA,Spokane Opera House,659
